customer_id,first_name,last_name,date_of_birth,address_id,customer_typeid
10832,Nyla,Aguirre,2/7/1974,881,1
10983,Unknown,Battle,2/1/1963,958,2
10837,Angelena,Harrington,3/25/1964,86,3
10107,Remona,Glass,9/16/1965,595,1
10553,King,Becker,2/20/1966,969,3
10867,Mathew,Kinney,6/26/1997,866,3
10861,Roderick,Mckee,2/4/1980,604,3
10964,Jewell,Flowers,5/31/1978,700,3
10578,Shizuko,Boyer,8/23/2000,635,3
10148,Avelina,Barker,10/27/1997,28,2
10790,Cliff,Short,1/14/1969,193,3
10125,Amberly,Bowen,1/27/2000,982,2
10233,Nisha,Unknown,9/15/1999,591,1
10234,Eduardo,Goff,11/17/1968,85,1
10961,Audrea,French,3/29/1962,670,1
10671,Sherell,Hamilton,7/14/1996,1041,1
10682,Ambrose,Harrison,6/29/1976,455,1
10533,Rodolfo,Fitzgerald,2/12/1988,634,2
10523,Phil,Clay,11/2/1999,479,3
10131,Quintin,Wheeler,1/21/1976,1201,1
10575,Mel,Hobbs,12/18/1992,143,1
10941,Lamont,Mcgowan,3/16/2000,87,2
10252,Loralee,Dodson,10/13/1988,1058,1
10830,Unknown,Burt,6/29/1992,1169,2
10223,Ray,Farmer,1/11/1998,193,1
10922,Adan,Benton,7/29/1997,841,1
10048,Matthew,Mcclure,1/16/1991,615,2
10001,Sherrell,Barlow,6/7/1969,560,2
10013,Eric,Franks,4/14/1966,849,3
10165,Dominique,Allison,4/28/1984,1176,1
10466,Bruce,Branch,2/11/1988,675,1
10938,Graham,Dalton,5/1/1999,400,1
10641,Gino,Hopkins,11/23/1964,740,2
10222,Verline,Kelley,5/2/1980,699,3
10420,Bruna,Henry,4/17/1964,152,2
10296,Zandra,Delaney,3/4/1988,579,3
10376,Mardell,Nguyen,6/19/1965,1077,1
10987,Rosana,Drake,10/26/1971,1196,3
10133,Eliseo,Cantu,6/11/1977,756,3
10673,Demetrius,Roth,5/20/1994,340,1
11077,Reynalda,Flynn,3/21/1972,920,3
10777,Jacquelynn,Bush,9/19/1997,12,3
10854,Leontine,May,12/7/2000,36,1
10512,Deeann,Spears,1/25/1961,905,2
10045,Yasuko,Greer,11/9/1986,945,1
10066,Calvin,Donaldson,6/24/1967,517,2
11082,Pierre,Cross,9/18/1989,463,3
10816,Riva,Powell,10/2/1972,109,2
11083,Elfreda,Sheppard,4/5/1994,1200,3
10598,Rudy,Lott,11/6/1998,1048,1
